infectedAgentId,infectedAgentProfession,originAgentId,originAgentProfession,location,lat,lon,nodeId,exposedTimeStamp,exposedDay,exposedHour,exposedMinute,incubationDuration,infectiousTimeStamp,infectiousDay,infectiousHour,infectiousMinute,recoveryDuration,recoveredTimeStamp,recoveredDay,recoveredHour,recoveredMinute,symptomaticTimeStamp,symptomaticDay,symptomaticHour,symptomaticMinute,severeTimeStamp,severeDay,severeHour,severeMinute
3108,salaryman_outside_city,1540,university_student,restaurant,36.09822652380952,140.1050852595238,178,2100,0,0,35,190800,192900,2,5,35,777600,970500,11,5,35,394200,4,13,30,0,0,0,0
2877,salaryman_outside_city,2877,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,309300,3,13,55,241200,550500,6,8,55,622800,1173300,13,13,55,1125900,13,0,45,0,0,0,0
3120,salaryman_outside_city,3031,salaryman_outside_city,On the Road,36.08148164306479,140.1073050487132,810752628,2138400,24,18,0,190800,2329200,26,23,0,1022400,3351600,38,19,0,0,0,0,0,0,0,0,0
2735,salaryman_outside_city,2945,salaryman_outside_city,On the Road,36.0923458716503,140.10571832276602,327239197,411000,4,18,10,97200,508200,5,21,10,658800,1167000,13,12,10,929700,10,18,15,0,0,0,0
4789,restaurant_worker,2940,salaryman_outside_city,restaurant,36.09822652380952,140.1050852595238,178,971100,11,5,45,140400,1111500,12,20,45,291600,1403100,16,5,45,0,0,0,0,0,0,0,0
2519,salaryman_outside_city,2519,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,148800,1,17,20,198000,346800,4,0,20,496800,843600,9,18,20,456000,5,6,40,795900,9,5,5
1084,university_student,759,university_student,university,36.108799375,140.09981975,174,1539900,17,19,45,129600,1669500,19,7,45,892800,2562300,29,15,45,2205600,25,12,40,0,0,0,0
457,university_student,4770,restaurant_worker,restaurant,36.09822652380952,140.1050852595238,178,1565100,18,2,45,97200,1662300,19,5,45,831600,2493900,28,20,45,2109900,24,10,5,0,0,0,0
130,student,2186,teacher,school,36.083930025,140.10997965,130,1764600,20,10,10,158400,1923000,22,6,10,900000,2823000,32,16,10,2048100,23,16,55,0,0,0,0
2543,salaryman_outside_city,2543,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,233400,2,16,50,115200,348600,4,0,50,507600,856200,9,21,50,692100,8,0,15,0,0,0,0
2918,salaryman_outside_city,2840,salaryman_outside_city,restaurant,36.09812263333333,140.1080869,1220,717900,8,7,25,162000,879900,10,4,25,1011600,1891500,21,21,25,1069500,12,9,5,0,0,0,0
4220,salaryman,4208,salaryman,restaurant,36.08681575,140.11398157500003,33,2038200,23,14,10,190800,2229000,25,19,10,1191600,3420600,39,14,10,2371500,27,10,45,0,0,0,0
4342,salaryman,2023,university_student,restaurant,36.09812263333333,140.1080869,1220,1479300,17,2,55,212400,1691700,19,13,55,921600,2613300,30,5,55,2112000,24,10,40,2339700,27,1,55
667,university_student,2974,salaryman_outside_city,On the Road,36.087990258917465,140.1174004464267,7055902985,334800,3,21,0,111600,446400,5,4,0,583200,1029600,11,22,0,669300,7,17,55,0,0,0,0
347,student,4774,restaurant_worker,restaurant,36.09822652380952,140.1050852595238,178,1674600,19,9,10,198000,1872600,21,16,10,925200,2797800,32,9,10,1992000,23,1,20,0,0,0,0
3550,retailer,3480,retailer,residential,36.102489500000004,140.09775681666665,1668,2141100,24,18,45,104400,2245500,25,23,45,1054800,3300300,38,4,45,2304300,26,16,5,0,0,0,0
4190,salaryman,1540,university_student,restaurant,36.09822652380952,140.1050852595238,178,181500,2,2,25,244800,426300,4,22,25,896400,1322700,15,7,25,486900,5,15,15,1078800,12,11,40
2058,medical_doctor,2999,salaryman_outside_city,restaurant,36.09822652380952,140.1050852595238,178,2187600,25,7,40,118800,2306400,26,16,40,1159200,3465600,40,2,40,2355000,27,6,10,0,0,0,0
1051,university_student,1014,university_student,apartments,36.0887582,140.11180512500002,778,1427100,16,12,25,219600,1646700,19,1,25,766800,2413500,27,22,25,1760100,20,8,55,0,0,0,0
4323,salaryman,3815,salaryman,office,36.0793859,140.10936577272727,700,2369400,27,10,10,133200,2502600,28,23,10,576000,3078600,35,15,10,0,0,0,0,0,0,0,0
1002,university_student,3631,retailer,apartments,36.09770235,140.097357175,1577,582000,6,17,40,169200,751200,8,16,40,730800,1482000,17,3,40,0,0,0,0,0,0,0,0
3669,retailer,3039,salaryman_outside_city,retail,36.09646731666667,140.097488,740,810600,9,9,10,187200,997800,11,13,10,648000,1645800,19,1,10,1085700,12,13,35,0,0,0,0
2764,salaryman_outside_city,2764,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,129000,1,11,50,248400,377400,4,8,50,493200,870600,10,1,50,380700,4,9,45,0,0,0,0
2737,salaryman_outside_city,2737,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,914400,10,14,0,176400,1090800,12,15,0,792000,1882800,21,19,0,0,0,0,0,0,0,0,0
2372,university_professor ,2496,salaryman_outside_city,apartments,36.106700975,140.10811285000003,1455,337500,3,21,45,180000,517500,5,23,45,374400,891900,10,7,45,520500,6,0,35,0,0,0,0
3227,salaryman_outside_city,2850,salaryman_outside_city,On the Road,36.08901646678339,140.10767895761273,327238846,842700,9,18,5,255600,1098300,12,17,5,702000,1800300,20,20,5,0,0,0,0,0,0,0,0
3158,salaryman_outside_city,2515,salaryman_outside_city,On the Road,36.095604471765164,140.10649130076115,395338606,1275300,14,18,15,122400,1397700,16,4,15,1069200,2466900,28,13,15,1433700,16,14,15,2306700,26,16,45
3272,retailer,4001,salaryman,restaurant,36.09812263333333,140.1080869,1220,2099400,24,7,10,133200,2232600,25,20,10,1166400,3399000,39,8,10,2361300,27,7,55,0,0,0,0
2597,salaryman_outside_city,2597,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1050300,12,3,45,115200,1165500,13,11,45,1105200,2270700,26,6,45,1714800,19,20,20,0,0,0,0
2079,medical_doctor,3080,salaryman_outside_city,hospital,36.0867734,140.114492675,30,1269600,14,16,40,104400,1374000,15,21,40,763200,2137200,24,17,40,1616700,18,17,5,0,0,0,0
2549,salaryman_outside_city,2865,salaryman_outside_city,apartments,36.10171245,140.09841297499997,925,1882200,21,18,50,133200,2015400,23,7,50,925200,2940600,34,0,50,2098500,24,6,55,2274600,26,7,50
2467,salaryman_outside_city,2467,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,322200,3,17,30,97200,419400,4,20,30,1004400,1423800,16,11,30,1183800,13,16,50,0,0,0,0
3064,salaryman_outside_city,3064,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,2224200,25,17,50,86400,2310600,26,17,50,1054800,3365400,38,22,50,0,0,0,0,0,0,0,0
2576,salaryman_outside_city,2576,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,37500,0,10,25,219600,257100,2,23,25,817200,1074300,12,10,25,287100,3,7,45,0,0,0,0
2099,medical_doctor,2558,salaryman_outside_city,hospital,36.0867734,140.114492675,30,1683000,19,11,30,154800,1837800,21,6,30,1062000,2899800,33,13,30,0,0,0,0,0,0,0,0
2085,medical_doctor,2113,medical_doctor,hospital,36.08728615,140.1144638,31,1187700,13,17,55,248400,1436100,16,14,55,334800,1770900,20,11,55,1436400,16,15,0,1524000,17,15,20
2898,salaryman_outside_city,2898,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,648000,7,12,0,162000,810000,9,9,0,738000,1548000,17,22,0,0,0,0,0,0,0,0,0
2937,salaryman_outside_city,2937,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1334700,15,10,45,104400,1439100,16,15,45,1090800,2529900,29,6,45,1768200,20,11,10,1784100,20,15,35
2815,salaryman_outside_city,2815,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1137300,13,3,55,219600,1356900,15,16,55,500400,1857300,21,11,55,1569300,18,3,55,0,0,0,0
2520,salaryman_outside_city,2520,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,735900,8,12,25,252000,987900,11,10,25,1040400,2028300,23,11,25,1953000,22,14,30,0,0,0,0
2960,salaryman_outside_city,2960,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,43200,0,12,0,252000,295200,3,10,0,914400,1209600,14,0,0,530700,6,3,25,0,0,0,0
2723,salaryman_outside_city,2723,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1613400,18,16,10,147600,1761000,20,9,10,914400,2675400,30,23,10,2205300,25,12,35,2269500,26,6,25
2720,salaryman_outside_city,2689,salaryman_outside_city,On the Road,36.09923530638762,140.1014733929492,1435111678,670800,7,18,20,212400,883200,10,5,20,1166400,2049600,23,17,20,1170600,13,13,10,0,0,0,0
2124,medical_doctor,2838,salaryman_outside_city,hospital,36.09173885,140.105110825,116,898500,10,9,35,244800,1143300,13,5,35,824400,1967700,22,18,35,1456500,16,20,35,0,0,0,0
2883,salaryman_outside_city,2595,salaryman_outside_city,On the Road,36.08862754705254,140.10674041529813,4805712387,669900,7,18,5,136800,806700,9,8,5,446400,1253100,14,12,5,822600,9,12,30,0,0,0,0
2659,salaryman_outside_city,2659,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,407100,4,17,5,140400,547500,6,8,5,1000800,1548300,17,22,5,619500,7,4,5,1270800,14,17,0
2114,medical_doctor,3022,salaryman_outside_city,hospital,36.08728615,140.1144638,31,1272000,14,17,20,154800,1426800,16,12,20,1008000,2434800,28,4,20,1440900,16,16,15,1567500,18,3,25
2091,medical_doctor,3220,salaryman_outside_city,restaurant,36.09822652380952,140.1050852595238,178,1408800,16,7,20,172800,1581600,18,7,20,903600,2485200,28,18,20,1732200,20,1,10,0,0,0,0
2966,salaryman_outside_city,3017,salaryman_outside_city,On the Road,36.08532280736578,140.10855655495774,7022956439,756000,8,18,0,147600,903600,10,11,0,1155600,2059200,23,20,0,1135500,13,3,25,1899000,21,23,30
3206,salaryman_outside_city,3206,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1963800,22,17,30,136800,2100600,24,7,30,468000,2568600,29,17,30,0,0,0,0,0,0,0,0
4772,restaurant_worker,2139,medical_doctor,apartments,36.099806725,140.09933999999998,887,1819500,21,1,25,158400,1977900,22,21,25,457200,2435100,28,4,25,2111400,24,10,30,0,0,0,0
2796,salaryman_outside_city,2796,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,768600,8,21,30,241200,1009800,11,16,30,896400,1906200,22,1,30,0,0,0,0,0,0,0,0
1563,university_student,3152,salaryman_outside_city,restaurant,36.09812263333333,140.1080869,1220,949800,10,23,50,205200,1155000,13,8,50,525600,1680600,19,10,50,1493400,17,6,50,0,0,0,0
3107,salaryman_outside_city,2802,salaryman_outside_city,On the Road,36.08532280736578,140.10855655495774,7022956439,842400,9,18,0,136800,979200,11,8,0,756000,1735200,20,2,0,1091700,12,15,15,0,0,0,0
106,student,3196,salaryman_outside_city,apartments,36.08164575,140.1191025857143,649,528300,6,2,45,126000,654300,7,13,45,1008000,1662300,19,5,45,794400,9,4,40,975300,11,6,55
699,university_student,2463,salaryman_outside_city,apartments,36.1056306,140.1072418,1475,982800,11,9,0,216000,1198800,13,21,0,543600,1742400,20,4,0,1576800,18,6,0,0,0,0,0
2736,salaryman_outside_city,2736,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1337700,15,11,35,147600,1485300,17,4,35,1101600,2586900,29,22,35,1498500,17,8,15,0,0,0,0
594,university_student,2963,salaryman_outside_city,restaurant,36.09812263333333,140.1080869,1220,976500,11,7,15,90000,1066500,12,8,15,615600,1682100,19,11,15,1259400,14,13,50,0,0,0,0
4081,salaryman,2143,medical_doctor,restaurant,36.09812263333333,140.1080869,1220,1302300,15,1,45,100800,1403100,16,5,45,1090800,2493900,28,20,45,1757400,20,8,10,0,0,0,0
2101,medical_doctor,3959,salaryman,hospital,36.0867734,140.114492675,30,579300,6,16,55,136800,716100,8,6,55,1033200,1749300,20,5,55,780000,9,0,40,1265700,14,15,35
2783,salaryman_outside_city,454,university_student,restaurant,36.09822652380952,140.1050852595238,178,812100,9,9,35,162000,974100,11,6,35,1123200,2097300,24,6,35,1144800,13,6,0,1712700,19,19,45
2999,salaryman_outside_city,3202,salaryman_outside_city,On the Road,36.09207026566434,140.10436122016293,311752515,1966200,22,18,10,219600,2185800,25,7,10,565200,2751000,31,20,10,0,0,0,0,0,0,0,0
4423,salaryman,4770,restaurant_worker,restaurant,36.09822652380952,140.1050852595238,178,1563900,18,2,25,158400,1722300,19,22,25,352800,2075100,24,0,25,1913700,22,3,35,2063100,23,21,5
2867,salaryman_outside_city,2867,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,834900,9,15,55,241200,1076100,12,10,55,471600,1547700,17,21,55,0,0,0,0,0,0,0,0
2993,salaryman_outside_city,2993,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1424400,16,11,40,136800,1561200,18,1,40,1029600,2590800,29,23,40,0,0,0,0,0,0,0,0
849,university_student,3080,salaryman_outside_city,restaurant,36.09812263333333,140.1080869,1220,891300,10,7,35,201600,1092900,12,15,35,554400,1647300,19,1,35,1181100,13,16,5,0,0,0,0
3188,salaryman_outside_city,3188,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,813600,9,10,0,169200,982800,11,9,0,511200,1494000,17,7,0,1085400,12,13,30,0,0,0,0
2480,salaryman_outside_city,2480,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1437900,16,15,25,151200,1589100,18,9,25,568800,2157900,24,23,25,1818600,21,1,10,0,0,0,0
3191,salaryman_outside_city,2641,salaryman_outside_city,On the Road,36.08862754705254,140.10674041529813,4805712387,237900,2,18,5,201600,439500,5,2,5,1144800,1584300,18,8,5,678600,7,20,30,0,0,0,0
2510,salaryman_outside_city,2510,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,655200,7,14,0,201600,856800,9,22,0,579600,1436400,16,15,0,0,0,0,0,0,0,0,0
3956,salaryman,3191,salaryman_outside_city,apartments,36.1066074,140.09379654999998,1614,1448400,16,18,20,226800,1675200,19,9,20,1173600,2848800,32,23,20,1681200,19,11,0,2154600,24,22,30
4669,salaryman,2929,salaryman_outside_city,apartments,36.09512923333333,140.10726995000002,1377,1079700,12,11,55,198000,1277700,14,18,55,1011600,2289300,26,11,55,1327800,15,8,50,0,0,0,0
2841,salaryman_outside_city,2974,salaryman_outside_city,restaurant,36.09529935,140.10685585,803,417000,4,19,50,126000,543000,6,6,50,417600,960600,11,2,50,836700,9,16,25,0,0,0,0
652,university_student,2788,salaryman_outside_city,apartments,36.08782255,140.11476910000002,38,2292000,26,12,40,118800,2410800,27,21,40,986400,3397200,39,7,40,0,0,0,0,0,0,0,0
2107,medical_doctor,3161,salaryman_outside_city,hospital,36.0867734,140.114492675,30,765900,8,20,45,223200,989100,11,10,45,1173600,2162700,25,0,45,1112700,12,21,5,2149800,24,21,10
2822,salaryman_outside_city,2822,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,2216400,25,15,40,208800,2425200,28,1,40,392400,2817600,32,14,40,0,0,0,0,0,0,0,0
2618,salaryman_outside_city,2618,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,45000,0,12,30,86400,131400,1,12,30,453600,585000,6,18,30,300300,3,11,25,0,0,0,0
3203,salaryman_outside_city,3008,salaryman_outside_city,On the Road,36.095604471765164,140.10649130076115,395338606,411300,4,18,15,136800,548100,6,8,15,1112400,1660500,19,5,15,681900,7,21,25,1511100,17,11,45
2785,salaryman_outside_city,2785,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,402300,4,15,45,241200,643500,7,10,45,518400,1161900,13,10,45,1041600,12,1,20,0,0,0,0
2711,salaryman_outside_city,2711,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,904500,10,11,15,201600,1106100,12,19,15,770400,1876500,21,17,15,1167300,13,12,15,0,0,0,0
2926,salaryman_outside_city,2926,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1264800,14,15,20,223200,1488000,17,5,20,572400,2060400,23,20,20,1555800,18,0,10,0,0,0,0
1247,university_student,2725,salaryman_outside_city,apartments,36.0980580625,140.09735868750002,1570,1021200,11,19,40,154800,1176000,13,14,40,1148400,2324400,26,21,40,1276500,14,18,35,1315800,15,5,30
3093,salaryman_outside_city,3093,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,2137500,24,17,45,248400,2385900,27,14,45,586800,2972700,34,9,45,0,0,0,0,0,0,0,0
3159,salaryman_outside_city,3159,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,149700,1,17,35,208800,358500,4,3,35,669600,1028100,11,21,35,740400,8,13,40,949500,10,23,45
4089,salaryman,2800,salaryman_outside_city,apartments,36.084506125000004,140.1132459,48,1649100,19,2,5,147600,1796700,20,19,5,1022400,2819100,32,15,5,2214000,25,15,0,0,0,0,0
2617,salaryman_outside_city,2629,salaryman_outside_city,On the Road,36.08148164306479,140.1073050487132,810752628,324000,3,18,0,136800,460800,5,8,0,417600,878400,10,4,0,686400,7,22,40,0,0,0,0
2681,salaryman_outside_city,2681,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1353000,15,15,50,194400,1547400,17,21,50,1040400,2587800,29,22,50,0,0,0,0,0,0,0,0
3180,salaryman_outside_city,3180,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,642900,7,10,35,223200,866100,10,0,35,270000,1136100,13,3,35,0,0,0,0,0,0,0,0
2673,salaryman_outside_city,2728,salaryman_outside_city,On the Road,36.095604471765164,140.10649130076115,395338606,756900,8,18,15,230400,987300,11,10,15,1004400,1991700,23,1,15,1944900,22,12,15,1970700,22,19,25
2888,salaryman_outside_city,2888,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,953100,11,0,45,234000,1187100,13,17,45,896400,2083500,24,2,45,1518000,17,13,40,0,0,0,0
4176,salaryman,1563,university_student,restaurant,36.09812263333333,140.1080869,1220,1202100,13,21,55,144000,1346100,15,13,55,964800,2310900,26,17,55,1439700,16,15,55,0,0,0,0
602,university_student,1873,university_student,restaurant,36.09812263333333,140.1080869,1220,1071900,12,9,45,226800,1298700,15,0,45,1177200,2475900,28,15,45,1703700,19,17,15,0,0,0,0
1316,university_student,3077,salaryman_outside_city,restaurant,36.09812263333333,140.1080869,1220,678600,7,20,30,208800,887400,10,6,30,363600,1251000,14,11,30,979200,11,8,0,0,0,0,0
2531,salaryman_outside_city,2531,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1439400,16,15,50,219600,1659000,19,4,50,457200,2116200,24,11,50,1766100,20,10,35,0,0,0,0
2939,salaryman_outside_city,2939,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1510800,17,11,40,133200,1644000,19,0,40,378000,2022000,23,9,40,0,0,0,0,0,0,0,0
2575,salaryman_outside_city,2575,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,653400,7,13,30,172800,826200,9,13,30,961200,1787400,20,16,30,945300,10,22,35,0,0,0,0
3122,salaryman_outside_city,3122,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1265100,14,15,25,248400,1513500,17,12,25,493200,2006700,23,5,25,1534800,17,18,20,0,0,0,0
2828,salaryman_outside_city,3106,salaryman_outside_city,On the Road,36.08862754705254,140.10674041529813,4805712387,1533900,17,18,5,162000,1695900,19,15,5,342000,2037900,23,14,5,1940100,22,10,55,0,0,0,0
856,university_student,2468,salaryman_outside_city,restaurant,36.09822652380952,140.1050852595238,178,2182200,25,6,10,205200,2387400,27,15,10,367200,2754600,31,21,10,0,0,0,0,0,0,0,0
2919,salaryman_outside_city,2701,salaryman_outside_city,On the Road,36.08532280736578,140.10855655495774,7022956439,2138400,24,18,0,223200,2361600,27,8,0,262800,2624400,30,9,0,0,0,0,0,0,0,0,0
2105,medical_doctor,2902,salaryman_outside_city,hospital,36.09173885,140.105110825,116,876600,10,3,30,158400,1035000,11,23,30,579600,1614600,18,16,30,0,0,0,0,0,0,0,0
4099,salaryman,4685,salaryman,restaurant,36.09812263333333,140.1080869,1220,1660200,19,5,10,136800,1797000,20,19,10,446400,2243400,25,23,10,0,0,0,0,0,0,0,0
2977,salaryman_outside_city,2977,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1513200,17,12,20,122400,1635600,18,22,20,320400,1956000,22,15,20,1831200,21,4,40,0,0,0,0
2662,salaryman_outside_city,2662,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,141600,1,15,20,147600,289200,3,8,20,1152000,1441200,16,16,20,693600,8,0,40,0,0,0,0
1878,university_student,2550,salaryman_outside_city,residential,36.10807475,140.10814942500002,995,1749600,20,6,0,100800,1850400,21,10,0,896400,2746800,31,19,0,1977600,22,21,20,2331900,26,23,45
3105,salaryman_outside_city,3017,salaryman_outside_city,On the Road,36.08532280736578,140.10855655495774,7022956439,237600,2,18,0,219600,457200,5,7,0,280800,738000,8,13,0,579600,6,17,0,0,0,0,0
